Interchange_Name,Highway_Name,Mile_Marker,Latitude,Longitude,Permalink
IC_U31_125,US-31,125,39.956202757786635,-86.15765978855467,https://www.waze.com/editor?env=usa&lat=39.956202757786635&lon=-86.15765978855467&zoom=5
IC_U20_71,US-20,71,41.70584991872402,-86.33993966895804,https://www.waze.com/editor?env=usa&lat=41.70584991872402&lon=-86.33993966895804&zoom=5
IC_U24_157,US-24,157,41.11294413299276,-84.92488835016572,https://www.waze.com/editor?env=usa&lat=41.11294413299276&lon=-84.92488835016572&zoom=5
IC_U27_117,US-27,117,41.12924705785722,-85.15804865819322,https://www.waze.com/editor?env=usa&lat=41.12924705785722&lon=-85.15804865819322&zoom=5
IC_U31_5,US-31,5,38.32962037451878,-85.75004006607232,https://www.waze.com/editor?env=usa&lat=38.32962037451878&lon=-85.75004006607232&zoom=5
IC_U31_107,US-31,107,39.69930866449704,-86.14874064848772,https://www.waze.com/editor?env=usa&lat=39.69930866449704&lon=-86.14874064848772&zoom=5
IC_U31_77,US-31,77,39.30475950524352,-85.96225562246046,https://www.waze.com/editor?env=usa&lat=39.30475950524352&lon=-85.96225562246046&zoom=5
IC_S17_50,IN-17,50,41.36200980561776,-86.31189717854002,https://www.waze.com/editor?env=usa&lat=41.36200980561776&lon=-86.31189717854002&zoom=5
IC_U31_1,US-31,1,38.279423593661384,-85.74974681712635,https://www.waze.com/editor?env=usa&lat=38.279423593661384&lon=-85.74974681712635&zoom=5
IC_S3_131,IN-3,131,40.16034228688191,-85.3532438462486,https://www.waze.com/editor?env=usa&lat=40.16034228688191&lon=-85.3532438462486&zoom=5
IC_U31_126,US-31,126,39.965376645219756,-86.1574280265092,https://www.waze.com/editor?env=usa&lat=39.965376645219756&lon=-86.1574280265092&zoom=5
IC_U24_132,US-24,132,41.03399781636684,-85.25231792328125,https://www.waze.com/editor?env=usa&lat=41.03399781636684&lon=-85.25231792328125&zoom=5
IC_U30_142,US-30,142,41.06310200639375,-84.98950834927814,https://www.waze.com/editor?env=usa&lat=41.06310200639375&lon=-84.98950834927814&zoom=5
IC_S1_139,IN-1,139,40.95444709972883,-85.16756984592746,https://www.waze.com/editor?env=usa&lat=40.95444709972883&lon=-85.16756984592746&zoom=5
IC_S5_13,IN-5,13,40.667921573458095,-85.49348473158793,https://www.waze.com/editor?env=usa&lat=40.667921573458095&lon=-85.49348473158793&zoom=5
IC_S25_5,IN-25,5,40.10421433658394,-87.06846005377808,https://www.waze.com/editor?env=usa&lat=40.10421433658394&lon=-87.06846005377808&zoom=5
IC_S22_46,IN-22,46,40.480503881991794,-85.54894255196685,https://www.waze.com/editor?env=usa&lat=40.480503881991794&lon=-85.54894255196685&zoom=5
IC_U30_78,US-30,78,41.313075409193836,-86.1163911894588,https://www.waze.com/editor?env=usa&lat=41.313075409193836&lon=-86.1163911894588&zoom=5
IC_S10_13,IN-10,13,41.144474968901804,-87.26566139912406,https://www.waze.com/editor?env=usa&lat=41.144474968901804&lon=-87.26566139912406&zoom=5
IC_S26_107,IN-26,107,40.422943463060314,-85.549322844403,https://www.waze.com/editor?env=usa&lat=40.422943463060314&lon=-85.549322844403&zoom=5
IC_U24_153,US-24,153,41.08398536658698,-84.99268864201714,https://www.waze.com/editor?env=usa&lat=41.08398536658698&lon=-84.99268864201714&zoom=5
IC_S5_20,IN-5,20,40.719802452395676,-85.43676776549364,https://www.waze.com/editor?env=usa&lat=40.719802452395676&lon=-85.43676776549364&zoom=5
IC_S4_38,IN-4,38,41.52718092143995,-85.05543048108207,https://www.waze.com/editor?env=usa&lat=41.52718092143995&lon=-85.05543048108207&zoom=5
IC_S1_159,IN-1,159,41.178912238647065,-85.10331321180804,https://www.waze.com/editor?env=usa&lat=41.178912238647065&lon=-85.10331321180804&zoom=5
IC_U30_128,US-30,128,41.12654435071025,-85.19672112194752,https://www.waze.com/editor?env=usa&lat=41.12654435071025&lon=-85.19672112194752&zoom=5
IC_S8_62,IN-8,62,41.36659830769993,-85.08154432494656,https://www.waze.com/editor?env=usa&lat=41.36659830769993&lon=-85.08154432494656&zoom=5
IC_S18_110,IN-18,110,40.55342918483318,-85.55071019563846,https://www.waze.com/editor?env=usa&lat=40.55342918483318&lon=-85.55071019563846&zoom=5
IC_S11_43,IN-11,43,39.02690493921848,-85.88955609666874,https://www.waze.com/editor?env=usa&lat=39.02690493921848&lon=-85.88955609666874&zoom=5
IC_U31_37,US-31,37,38.78038713588631,-85.82937579364403,https://www.waze.com/editor?env=usa&lat=38.78038713588631&lon=-85.82937579364403&zoom=5
